"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"1","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-11-02,"COMPLETA","VALENCIA",1600,1000,"ELECTRÓNICA"
"2","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","MADRID","Unknown",2018-11-02,"PARCIAL","MADRID",105,100,"FORESTAL/JARDINERÍA"
"3","CUIDADOS/ASISTENCIA EN EL HOGAR","MADRID","Unknown",2018-11-02,"PARCIAL","MADRID",105,100,"SERVICIO DOMÉSTICO"
"4","SALUD/DEPORTE","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-11-02,"PARCIAL","SEVILLA",1000,750,"MEDICINA"
"5","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","EXTREMADURA","Unknown",2018-11-02,"PARCIAL","CÁCERES",600,600,"ELECTRICIDAD"
"6","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-11-02,"PARCIAL","ALICANTE",1000,900,"ADMINISTRATIVOS"
"45","ARQUITECTURA/DISEÑO","CASTILLA LA MANCHA","Licenciado o Ingeniero Superior",2018-09-17,"COMPLETA","CUENCA",1200,900,"ARQUITECTOS"
"62","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Licenciado o Ingeniero Superior",2018-11-03,"COMPLETA","BARCELONA",85800,46200,"SISTEMAS/SEGURIDAD/REDES"
"100","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CASTILLA Y LEÓN","FP I, Ciclo de Grado Medio",2018-11-02,"COMPLETA","ÁVILA",1200,1000,"ELECTRICIDAD"
"101","INFORMÁTICA/TELECOMUNICACIONES","EXTREMADURA","Licenciado o Ingeniero Superior",2018-10-02,"INDIFERENTE","CÁCERES",1200,800,"SISTEMAS/SEGURIDAD/REDES"
"102","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","EXTREMADURA","Unknown",2018-11-02,"PARCIAL","CÁCERES",600,600,"ELECTRICIDAD"
"103","CONSTRUCCIÓN","MADRID","Otras Formaciones",2018-10-22,"COMPLETA","MADRID",1000,0,"ALBAÑILERIA/ACABADOS"
